N,P,K,temperature,humidity,ph,rainfall,label
74.98,30.94,49.26,20.78,72.06,6.55,166.89,rice
98.03,49.09,32.52,27.97,88.05,6.3,177.86,rice
89.28,39.43,34.85,28.11,80.11,5.96,167.7,rice
83.95,45.26,56.96,29.56,86.53,6.72,158.87,rice
66.24,57.23,48.19,30.89,76.4,6.53,162.06,rice
66.24,37.48,30.28,34.64,87.91,5.74,196.08,rice
62.32,42.31,33.04,27.74,77.78,6.87,170.63,rice
94.65,52.67,49.91,24.84,70.22,6.73,186.43,rice
84.04,36.86,30.15,31.93,88.11,6.92,200.34,rice
88.32,32.31,34.82,24.06,71.83,6.59,219.04,rice
60.82,38.69,46.46,26.58,76.39,6.42,153.93,rice
98.8,34.84,50.76,21.18,89.0,6.13,229.94,rice
93.3,57.89,49.56,20.38,89.01,6.9,212.79,rice
68.49,54.24,36.73,34.44,81.47,6.8,158.18,rice
67.27,49.0,51.37,32.54,82.64,5.57,237.36,rice
67.34,56.14,37.12,30.44,78.97,5.54,242.09,rice
72.17,54.11,39.76,26.13,75.86,6.06,156.11,rice
80.99,35.6,52.39,22.6,76.57,6.72,177.69,rice
77.28,56.78,49.49,22.35,83.45,6.98,230.62,rice
71.65,46.18,55.48,23.75,85.05,5.73,224.83,rice
84.47,54.22,49.73,28.24,85.83,6.39,168.45,rice
65.58,56.88,47.05,30.72,85.79,6.07,170.93,rice
71.69,39.54,32.81,29.9,71.82,6.95,187.05,rice
74.65,33.3,41.03,24.2,79.89,6.76,198.45,rice
78.24,36.84,37.96,34.32,71.15,6.76,211.83,rice
91.41,42.81,37.32,31.07,80.99,6.2,186.89,rice
67.99,54.54,59.19,28.32,78.83,6.12,196.25,rice
80.57,55.82,41.79,29.18,87.75,5.91,224.75,rice
83.7,30.21,56.76,26.29,77.02,5.58,153.67,rice
61.86,45.32,48.93,23.72,72.34,6.8,175.24,rice
84.3,42.52,53.84,25.34,72.86,6.72,221.33,rice
66.82,36.66,45.08,31.37,85.23,7.0,239.52,rice
62.6,33.6,47.31,20.22,82.36,6.99,201.17,rice
97.96,40.13,44.78,21.74,72.02,6.33,203.21,rice
98.63,58.29,35.86,20.69,71.68,6.65,160.72,rice
92.34,39.7,51.67,20.61,84.02,6.92,194.74,rice
72.18,45.56,38.42,32.83,71.46,6.77,203.26,rice
63.91,51.09,30.73,30.55,86.44,5.87,174.25,rice
87.37,40.91,49.36,27.11,84.12,6.18,176.92,rice
77.61,59.15,35.31,21.47,71.63,5.69,187.73,rice
64.88,58.87,58.21,27.37,71.7,6.93,152.01,rice
79.81,37.55,58.62,27.1,89.73,6.41,182.21,rice
61.38,44.92,57.45,22.6,77.49,5.84,171.14,rice
96.37,39.03,41.1,26.51,77.41,6.51,182.75,rice
70.35,38.55,30.46,25.98,86.26,6.43,161.98,rice
86.5,31.11,57.85,29.24,88.94,6.04,239.05,rice
72.47,48.29,42.85,29.53,89.72,5.67,209.36,rice
80.8,45.08,59.0,20.68,85.07,6.51,217.91,rice
81.87,31.54,58.91,25.62,77.53,6.28,228.92,rice
67.39,38.36,55.59,29.39,71.67,6.66,199.84,rice
98.78,57.25,38.83,27.55,85.54,6.28,158.69,rice
91.01,37.19,41.55,32.85,81.17,6.78,203.71,rice
97.58,34.35,55.53,29.88,78.48,6.33,208.68,rice
95.79,44.68,39.51,22.44,88.13,6.34,224.54,rice
83.92,59.57,35.08,21.06,72.22,6.81,193.17,rice
96.87,37.26,46.7,29.64,79.85,6.11,162.76,rice
63.54,50.16,58.08,20.4,70.23,5.7,178.38,rice
67.84,52.85,50.88,28.79,79.37,5.54,186.31,rice
61.81,37.13,47.1,34.1,71.13,6.63,214.59,rice
73.01,51.85,32.92,28.63,72.38,6.43,207.08,rice
75.55,41.03,48.45,25.82,72.35,6.56,185.61,rice
70.85,48.97,59.7,29.65,82.98,5.82,248.65,rice
93.15,49.01,34.2,26.87,84.92,5.7,210.58,rice
74.27,46.07,45.55,28.18,81.67,5.52,173.72,rice
71.24,32.71,56.32,34.12,89.24,6.03,160.18,rice
81.71,55.06,52.22,25.79,77.5,6.38,165.29,rice
65.64,39.62,50.91,34.42,75.71,6.09,174.6,rice
92.09,35.6,51.07,33.58,87.37,6.16,166.07,rice
62.98,31.22,40.78,22.94,74.47,6.86,168.66,rice
99.48,47.73,38.81,21.04,89.26,6.02,178.51,rice
90.89,50.33,54.28,21.51,70.24,6.27,167.34,rice
67.95,30.5,54.3,20.27,89.4,6.68,239.68,rice
60.22,45.36,56.01,21.42,70.86,6.09,158.02,rice
92.62,36.79,57.4,30.25,87.82,6.43,202.45,rice
88.27,49.36,45.34,21.07,80.55,6.79,191.04,rice
89.16,35.23,45.05,24.78,89.86,6.92,248.24,rice
90.85,50.73,53.95,32.67,71.48,5.72,161.2,rice
62.96,41.6,49.5,20.35,81.08,6.89,189.79,rice
74.34,58.1,51.06,32.22,89.39,6.24,246.95,rice
64.63,34.13,53.87,24.23,80.46,5.89,236.55,rice
94.52,40.23,56.7,21.77,82.59,6.19,231.71,rice
84.93,33.4,40.14,30.45,83.91,6.97,175.79,rice
73.24,57.74,41.27,29.43,79.09,6.24,167.09,rice
